,0
0,1
1,11
2,5
3,1
4,4
5,8
6,2
7,4
8,3
9,0
10,0
11,2
12,2
13,1
14,1
15,1
16,1
17,0
18,1
19,6
20,4
21,7
22,7
23,0
24,1
25,0
26,0
27,1
28,2
29,6
30,7
31,6
32,8
33,0
34,5
35,2
36,2
37,1
38,1
39,2
40,2
41,1
42,1
43,1
44,3
45,1
46,0
47,0
48,3
49,1
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,2
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,3
83,2
84,2
85,2
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,2
97,0
98,2
99,0
100,0
101,1
102,3
103,1
104,2
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,2
113,2
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,2
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,3
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,2
161,1
162,1
163,1
164,3
165,1
166,3
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,2
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,2
186,1
187,1
188,1
189,1
190,0
191,2
192,1
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,3
213,2
214,0
215,0
216,2
217,2
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,2
228,1
229,3
230,1
231,1
232,1
233,0
234,0
235,2
236,3
237,0
238,2
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,2
250,1
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,2
260,1
261,3
262,2
263,4
264,2
265,2
266,1
267,2
268,1
269,1
270,3
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,2
295,1
296,0
297,0
298,1
299,2
300,0
301,2
302,4
303,2
304,1
305,0
306,1
307,2
308,1
309,1
310,2
311,2
312,2
313,1
314,1
315,0
316,3
317,0
318,2
319,0
320,0
321,2
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,2
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,2
341,1
342,1
343,2
344,1
345,0
346,0
347,2
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,3
356,1
357,1
358,0
359,1
360,1
361,0
362,0
363,2
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,4
373,2
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,2
390,2
391,0
392,2
393,3
394,1
395,1
396,1
397,2
398,1
399,1
400,0
401,2
402,1
403,2
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,2
414,0
415,1
416,1
417,0
418,2
419,1
420,2
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,1
429,3
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,3
440,0
441,2
442,2
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,3
467,1
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,0
493,1
494,2
495,2
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,2
504,2
505,1
506,1
507,3
508,0
509,0
510,0
511,1
512,0
513,1
514,3
515,2
516,2
517,2
518,1
519,1
520,0
521,2
522,0
523,0
524,1
525,1
526,0
527,0
528,1
529,0
530,2
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,2
540,1
541,2
542,0
543,2
544,1
545,2
546,2
547,1
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,2
571,1
572,0
573,1
574,1
575,3
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,1
588,2
589,2
590,1
591,2
592,2
593,0
594,1
595,3
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,0
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,2
614,2
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,2
627,3
628,0
629,1
630,1
631,3
632,1
633,1
634,0
635,0
636,0
637,1
638,1
639,1
640,1
641,1
642,3
643,1
644,3
645,1
646,2
647,2
648,2
649,1
650,1
651,0
652,4
653,3
654,2
655,1
656,0
657,1
658,0
659,1
660,1
661,1
