,0
0,1632960457.4637578
1,17195144687.61296
2,1889570406.930355
3,0.0
4,342386638.3200837
5,2893770344.856239
6,1974171508.2798338
7,3982946631.726755
8,5342565655.681181
9,0.0
10,2020374010.9555228
11,2444196260.484601
12,947921216.0544292
13,867226940.4216001
14,1890149519.408001
15,0.0
16,2403101939.2444572
17,0.0
18,1376508358.9622486
19,1365069441.0343719
20,1367344813.1992483
21,1371103921.7606363
22,1802116659.4500053
23,2798147053.4914775
24,6797936734.426882
25,0.0
26,1016035065.0368104
27,0.0
28,1486282165.1050704
29,0.0
30,157509136.5826419
31,1624583819.227437
32,3477313436.6214476
33,596475986.3140502
34,1484373569.193995
35,2780300990.7147417
36,4789591399.415891
37,2219567020.374902
38,3111688768.9835267
39,1368932609.2799141
40,1799529286.1663737
41,1194049470.5871058
42,1134378835.549316
43,0.0
44,623156763.0078344
45,0.0
46,0.0
47,0.0
48,1415881066.126985
49,853647895.9377484
50,2059335874.4172235
51,1134958716.5835133
52,2008532138.6305413
53,1384555402.1813765
54,1819511235.4290428
55,3257981158.050046
56,1977507676.3773866
57,0.0
58,1395777370.5618968
59,1360154262.8460166
60,1201255562.9939837
61,0.0
62,0.0
63,0.0
64,2067460844.1252723
65,0.0
66,2377884190.6393166
67,1369554170.6677117
68,1615565997.7923923
69,0.0
70,0.0
71,0.0
72,2051891906.2710624
73,1418338713.134177
74,3671945086.1611505
75,1029014168.000427
76,0.0
77,2347494712.5683575
78,2041087197.846529
79,0.0
80,691730186.5042552
81,1563767365.6882849
82,1381591929.3726535
83,2364294391.389844
84,6677973360.676858
85,2701244929.5135126
86,0.0
87,881169442.5932581
88,1577426575.0572584
89,1367074797.163904
90,4219837906.47942
91,0.0
92,1910653648.6208777
93,0.0
94,1857671477.921116
95,1052139797.064929
96,0.0
97,1243677449.7623115
98,0.0
99,2474179096.0702705
100,2289132218.094228
101,1488715828.9242558
102,1985523432.199942
103,0.0
104,3224269720.1318
105,0.0
106,2646822952.528681
107,1377455897.4383268
108,4039613195.4780045
109,0.0
110,1650469000.8192468
111,0.0
112,6248072146.671438
113,0.0
114,0.0
115,0.0
116,0.0
117,1400484123.906172
118,2126213403.1473603
119,1301694539.7327714
120,0.0
121,0.0
122,3155013046.756317
123,0.0
124,0.0
125,1301684194.3172529
126,1171923753.599317
127,0.0
128,0.0
129,2603372454.603264
130,0.0
131,1237666875.7398229
132,0.0
133,0.0
134,2603396691.8041277
135,0.0
136,1301682916.9425468
137,0.0
138,0.0
139,1301698915.5033221
140,1301684972.0173697
141,1230291293.1410782
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,799991837.742472
149,1294199880.0603309
150,1146832943.3051457
151,1301694072.3349383
152,1301686107.4148679
153,0.0
154,776455123.2790914
155,0.0
156,0.0
157,536103071.3993943
158,1212023684.3198183
159,0.0
160,6210018324.669132
161,1241065529.4124858
162,1241065239.8325207
163,0.0
164,6338924681.572136
165,858662797.0140063
166,1301685383.0806162
167,0.0
168,824420088.3314481
169,1301688960.1315737
170,1301695544.8229632
171,0.0
172,0.0
173,0.0
174,1115988800.2628324
175,0.0
176,0.0
177,1025941291.8612697
178,4296975520.214343
179,1301690957.9886265
180,4045622827.58681
181,1301700464.3742802
182,3446938620.9133415
183,0.0
184,1301683244.80654
185,1301700213.302796
186,0.0
187,0.0
188,0.0
189,0.0
190,1301700574.754711
191,3446931309.2113743
192,1301693542.3234997
193,0.0
194,0.0
195,2145268920.8094893
196,1301666063.445045
197,0.0
198,1301699930.4608164
199,1301685264.0227182
200,0.0
201,1301699112.403947
202,0.0
203,0.0
204,0.0
205,2603372463.0445943
206,1301689797.6601894
207,1301691139.93685
208,1301675147.8118837
209,0.0
210,751678684.7077775
211,1301696665.9993238
212,1301695500.2918675
213,5453929781.605789
214,1296317072.4941988
215,6080596343.828954
216,2603401149.5094213
217,0.0
218,1301682736.9162965
219,0.0
220,0.0
221,0.0
222,2515037000.4015613
223,0.0
224,0.0
225,0.0
226,1301702320.9026473
227,2834058201.3740377
228,7082750648.440927
229,4396092588.750034
230,1301693521.3886156
231,0.0
232,1880142224.2699132
233,1301694046.0620866
234,397622183.1625688
235,4561900875.044032
236,1301685555.711249
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,397625767.9098562
246,0.0
247,1281334144.1554608
248,1301684220.0873873
249,2542722499.743329
250,1301684429.1681013
251,0.0
252,0.0
253,0.0
254,1301692491.7662613
255,0.0
256,0.0
257,1301688161.5710115
258,1301679266.7371397
259,2646396239.4067
260,1947211669.0441747
261,5300285395.395158
262,0.0
263,1301698575.319521
264,2968168956.6062474
265,5501613384.369952
266,3941385387.9707737
267,0.0
268,805727175.2415438
269,1301685717.5170107
270,2145280812.2080097
271,918661050.9654026
272,1301700574.754711
273,1301693442.4826908
274,0.0
275,1100296502.391842
276,250056956.46219558
277,1169522537.975164
278,0.0
279,0.0
280,1529101156.4516497
281,1403220023.143181
282,0.0
283,1301700574.754711
284,1301695281.654666
285,0.0
286,0.0
287,0.0
288,1301700574.754711
289,0.0
290,1301683265.533126
291,1301675184.6714883
292,0.0
293,0.0
294,6111852033.382698
295,1301700574.7547107
296,1161134280.5503983
297,2549850653.5119305
298,1301692231.36898
299,4456692475.283731
300,1301696686.6765792
301,4688026829.914831
302,6574189995.671853
303,2216952115.904573
304,1301700574.7547107
305,1301700574.754711
306,0.0
307,1178866526.205704
308,914220623.041106
309,0.0
310,2562135079.062788
311,998405156.0533793
312,2145291109.5958362
313,1241078709.689904
314,0.0
315,0.0
316,3389834368.8430657
317,3844611431.899266
318,1028115533.0301615
319,0.0
320,0.0
321,2036961195.6953945
322,633426447.4367117
323,849941482.5955431
324,0.0
325,1301700574.754711
326,0.0
327,1986436818.9597862
328,0.0
329,942544937.6174421
330,0.0
331,2603378156.468892
332,2345579918.9204006
333,0.0
334,0.0
335,0.0
336,1301677283.4053454
337,1289315296.3695197
338,1301688978.9880476
339,1301698763.3965025
340,4260739418.2599006
341,2603370784.9841156
342,0.0
343,4481501586.308369
344,0.0
345,0.0
346,2109638169.0044503
347,4621232672.062555
348,6887867096.926487
349,926217023.0080457
350,0.0
351,0.0
352,0.0
353,0.0
354,1275140832.6476712
355,9318757626.09473
356,4396118669.488788
357,0.0
358,0.0
359,0.0
360,1103885887.3347268
361,0.0
362,1301691813.3515983
363,1301700574.754711
364,1301685506.3985114
365,4160174108.899497
366,1110832043.9974632
367,3844658915.751242
368,0.0
369,0.0
370,2603404869.5104475
371,1205252833.70879
372,1301701888.9651542
373,8225824776.0857315
374,1928558579.5933442
375,3446970603.2785254
376,5788400660.173024
377,1301682210.3352752
378,1199297659.1355157
379,0.0
380,1301677977.7727761
381,0.0
382,1301689507.7938712
383,1301682242.2627964
384,0.0
385,0.0
386,0.0
387,0.0
388,1301682833.7478995
389,3507859827.091774
390,2603391111.164233
391,1301700574.7547107
392,1241101097.1313386
393,2603393658.5760956
394,1301692059.1342587
395,0.0
396,1029636606.8245407
397,4712317229.868879
398,3428606164.9888277
399,1301693806.983657
400,0.0
401,2518768655.865349
402,1085281349.7043986
403,740388137.8644787
404,493112711.7049748
405,1301696169.660006
406,3145925518.411017
407,1301680434.160007
408,5404729494.588836
409,0.0
410,2145255657.1126227
411,0.0
412,0.0
413,0.0
414,0.0
415,1301684863.8897827
416,1241076689.4851017
417,0.0
418,0.0
419,1301682095.4808204
420,5300281144.850297
421,3155003892.7169
422,2145255623.4013362
423,4456671969.115833
424,4456739214.466636
425,0.0
426,0.0
427,1299728315.911408
428,2459423509.7859774
429,1274652385.2126415
430,0.0
431,0.0
432,1301696037.8854697
433,1301692445.0610297
434,1301689335.2631721
435,1301684796.7816236
436,0.0
437,1301693246.1849244
438,700369031.1654161
439,0.0
440,0.0
441,1301700989.5261135
442,1723261687.1417346
443,1301687037.5392873
444,1301690607.932219
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,1301690367.8802662
462,1301681687.0397394
463,0.0
464,0.0
465,1215200256.8385959
466,6236981947.171951
467,5737464440.134964
468,0.0
469,0.0
470,2145257778.5321732
471,0.0
472,0.0
473,0.0
474,1301677745.3282588
475,0.0
476,1301690624.9904218
477,1301687497.261888
478,2603385893.2256584
479,1301687063.9931607
480,0.0
481,0.0
482,2603395257.7403345
483,2555992170.8531723
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,4868007423.595552
492,2537962580.0637226
493,0.0
494,0.0
495,2145265488.0380492
496,1301695657.7389092
497,1301698995.579594
498,0.0
499,1301674694.9194086
500,1301693876.5987344
501,5697787790.663126
502,1241058118.75324
503,421785048.8818715
504,1259977941.5224032
505,4094631423.8080254
506,1117659927.098691
507,1049226982.7538328
508,0.0
509,0.0
510,1301678467.1594958
511,2863949178.500103
512,1001024383.9356048
513,1301670275.5074196
514,0.0
515,1275519910.9632568
516,1301663651.791547
517,2542758875.699686
518,0.0
519,1301687658.3737986
520,0.0
521,0.0
522,3155036494.9735875
523,0.0
524,1301685783.1321797
525,1301697488.6366816
526,0.0
