,Reassignments of a switch in 120 iterations
33,1.0
32,1.0
1,1.0
22,1.0
2,1.0
40,1.0
3,1.0
12,1.0
13,1.0
30,1.0
6,0.5466550186489689
31,0.1485255517035026
34,0.16409841996567834
25,0.1443043804800073
24,0.11811757714768899
28,0.13636327989556518
4,0.2746740947902337
29,0.33871296245280613
23,0.5141092652946783
27,0.5163050991854995
11,0.4804058268268404
16,1.0
37,1.0
26,1.0
18,0.18048024360962964
39,0.15765880915502475
36,0.17404914599251475
17,0.33751151258212336
14,0.3146936545354208
20,0.5425318957856583
35,0.3548117232608523
15,0.34115559271496787
21,0.5044459174380486
0,0.0
5,0.9016034985422741
8,0.466662995165325
7,0.4837143505745185
10,0.4163136687800328
38,0.0
