,0
0,1005922.4035417562
1,719210.8878323666
2,505258.2768728314
3,70902.73624173505
4,189012.0249130458
5,314551.5534997127
6,113132.56191200891
7,330095.99449035025
8,351873.2443975024
9,887512.7724625671
10,329907.4009000099
11,298436.8939168742
12,443497.8033920855
13,64038.52871264168
14,190786.66978913173
15,1277785.157288532
16,199109.528078018
17,288701.0219539072
18,566183.4235037267
19,282360.5626843518
20,443292.92282042897
21,158173.00349003717
22,494442.4775320601
23,505443.4501579085
24,443290.9394686527
25,266414.5114078786
26,331250.712070882
27,636334.5091290285
28,297137.8569925027
29,158449.6657472708
30,232873.8367512658
31,444049.0618463453
32,347533.14449595637
33,438825.8490795116
34,429742.405700375
35,909216.156545034
36,471076.5366077983
37,616990.5939627953
38,58783.93094198615
39,244323.83220355702
40,254565.41686179163
41,496633.38670799416
42,96771.499755761
43,332243.29758933233
44,765944.176134126
45,381843.5728251827
46,188959.04758955387
47,343854.6893276409
48,536935.1100652602
49,86848.15457438037
50,458259.89089417073
51,189520.60317397455
52,214627.19234638044
53,208007.9196621616
54,522370.62323470507
55,189805.11225674744
56,90147.41390638845
57,508484.7894130433
58,241586.40576596186
59,617696.6860475178
60,230270.61505003658
61,217946.79166130535
62,449143.05333819287
63,202916.61038745008
64,612965.1373081714
65,284343.5862985408
66,502385.56729887007
67,422835.93947653845
68,339717.40793868515
69,428814.954829318
70,238257.5932568037
71,565543.7410334392
72,138224.69367893785
73,494805.663076443
74,430831.5503278234
75,157331.3173833124
76,289074.89108543494
77,505103.9619012694
78,434403.0309727419
79,532052.290773688
80,341643.80924740375
81,349080.11966465716
82,390744.4687825594
83,152695.73997533426
84,159364.34649887204
85,365634.936524061
86,201409.8533658079
87,239581.30391362472
88,124209.27739827347
89,82140.91284424684
90,457217.8554074598
91,347550.97991809284
92,546796.024316485
93,408478.14237385977
94,419528.01179344696
95,240305.9069818519
96,382928.72008299385
97,364649.21869180235
98,379488.5858622163
99,162435.7137057716
100,204931.5142991637
101,330009.23778059427
102,345445.4861562834
103,324986.19871864386
104,219984.52906974882
105,301037.48984472046
106,417659.21172911616
107,348605.75707459135
108,228562.25053713354
109,249496.29962100484
110,330947.4578324803
111,150338.4523484133
112,301943.6691115891
113,365330.6693126841
114,84734.64082731772
115,169039.81218303042
116,239074.8709312419
117,210958.10569743987
118,200768.081558255
119,129318.76442681206
120,320015.9433663514
121,201468.7997994295
122,103868.19097135251
123,443974.8143660445
124,528572.7843530639
125,277197.5032708349
126,368269.5659962408
127,110981.53498116939
128,769299.8848549298
129,266877.1735401271
130,649639.9461222573
131,288867.2413041842
132,91918.32808076695
133,194715.0280094525
134,153542.87587109278
135,401336.7903755631
136,434140.7765648498
137,309760.5035629795
138,229758.72777799878
139,913873.7984657108
140,516373.6392201651
141,682209.5081718838
142,431659.6471746827
143,350238.1321864694
144,355870.1042834659
145,327383.20026498847
146,430620.0092475591
147,454801.12659402913
148,511081.0167986532
149,145349.3391288306
150,204778.85746166168
151,156815.85437182896
152,188548.36947624036
153,306692.3514657434
154,254410.00602430664
155,868582.7774838337
156,217741.41432974627
157,238901.5550269927
158,397659.4738369434
159,470533.04515164567
160,299748.4971462068
161,240071.3131977074
162,167865.1040101517
163,670352.3178085977
164,225961.04276438116
165,273455.8153259356
166,31883.738351824693
167,577524.3302039852
168,281995.8988244684
169,320059.1089659486
170,375345.7338178973
171,145214.3371551562
172,172267.29646730982
173,196951.7071050614
174,403986.65800062625
175,351651.93418347876
176,60566.179568866035
177,86744.77031144127
178,171948.29694059503
179,184955.17466190597
180,283842.41569890303
181,270468.0262581303
182,92858.79107318155
183,294979.19446032355
184,172728.05143428792
185,240364.14975051396
186,290202.2117416734
187,318867.40584385756
188,219069.54559128138
189,191311.34825948603
190,102752.67866946722
191,214685.11892930674
192,244705.8156894606
193,188405.4001050589
194,350451.3019054625
195,187897.47592878703
196,354223.7302196141
197,330242.74848371954
198,621907.6877781189
199,260366.85841263132
200,196397.65762695658
201,411374.0876969405
202,218163.96968710737
203,268010.11071424396
204,315953.6701678006
205,584013.0713075105
206,111176.8152025236
207,264991.21892647515
208,365062.62162091245
209,258495.44372627232
210,96911.59565845237
211,232214.7699761351
212,238022.00928034668
213,347191.6470908114
214,249241.5865119939
215,289056.0835079253
216,536003.6085655817
217,65715.6788782198
218,175434.06469168735
219,144430.2655668225
220,350519.1417030225
221,145872.65988601034
222,202822.47124716535
223,613657.6659354753
224,280477.07144544635
225,149900.5390114811
226,203524.031031257
227,128926.61047046154
228,68134.03168959788
229,104859.49510922306
230,101587.01669663994
231,55928.0812279447
232,318344.96330073057
233,458785.4267955979
234,245158.3068872512
235,271215.29399230226
236,295248.80314872845
237,181804.126603732
238,299087.97051585035
239,218671.9789067317
240,217856.75580245513
241,317012.52213342814
242,361106.32794899633
243,276937.1483938495
244,323962.04046614317
245,394047.66569910257
246,221064.32646406488
247,449651.71229586424
248,80666.79153297283
249,102479.52744983893
250,331376.28693833225
251,360575.69054470246
252,346528.42071548407
253,227730.3628235676
254,97427.47536261717
255,357974.3631045306
256,225205.85980062804
257,248296.97171805182
258,418103.6987922315
259,453564.9735007209
260,301007.0282154734
261,618526.7047488039
262,58051.68590573163
263,186279.71329168102
264,140640.19000416482
265,218297.4111640238
266,316852.83888787753
267,722517.6949493488
268,291908.58662069833
269,279243.7640704663
270,238217.5416458879
271,342036.89669314714
272,262225.50529085356
273,413969.05818209855
274,333014.348038938
275,209117.02474920405
276,292348.5364764249
277,142369.41902097536
278,247047.1683450205
279,243288.6985912777
280,289618.0591884841
281,213400.45912310132
282,269354.18859250867
283,488977.77152459684
284,138281.55602088186
285,346818.3664444982
286,374217.95205852843
287,277461.60138581565
288,423630.3890687858
289,184341.7872680619
290,417670.3004506264
291,192510.65519012848
292,241593.14841099188
293,145008.55963651836
294,230729.3108428662
295,370791.7201569071
296,195880.81907036656
297,443932.2585921065
298,249093.53088691016
299,540463.0351540047
300,199160.4513283458
301,277559.3599004365
302,301809.80623208825
303,380714.4140091203
304,598598.6622027169
305,276357.66885966575
306,338375.7107746707
307,192505.1467125744
308,298004.3787074833
