,0
0,15030429268.291454
1,7260819872.053606
2,3425259009.1174097
3,1488639281.5491586
4,9649755580.943626
5,4751764630.165518
6,5598431997.846422
7,4419854712.117236
8,3863385749.873879
9,3068578527.2006593
10,1848161001.818474
11,1889744244.3300028
12,5150427681.729861
13,6719677189.51276
14,4292318737.774846
15,6053506866.207887
16,8343897705.148939
17,0.0
18,919794990.4667548
19,1612419190.6035616
20,19924080.26829696
21,1176720631.0288415
22,4691337136.050065
23,1314874389.2830074
24,1482262267.9092765
25,598956614.9903148
26,5988158063.04298
27,9064459056.670925
28,5739050967.995457
29,1882641878.1372178
30,7084809761.097783
31,426447405.39375365
32,97676335.64312345
33,3695458789.450526
34,3851552944.6612077
35,5028133935.043741
36,4316325335.716677
37,3877499383.307685
38,0.0
39,1588777109.3643823
40,3192065574.370379
41,3543472618.7823634
42,3274651576.1864176
43,1118737251.5390234
44,989368324.7900577
45,1936739256.4911547
46,0.0
47,1594927902.3277156
48,2305417787.6944833
49,0.0
50,6909000839.315626
51,2912462481.9114666
52,5499146578.5166855
53,9339838270.206865
54,4440554673.864032
55,2071337663.7686045
56,2824010549.7418475
57,3264038153.535603
58,5756767108.895823
59,1487624737.6610923
60,2609217327.1467814
61,0.0
62,3427766936.2816906
63,2050348304.563413
64,741538796.7215031
65,0.0
66,2353454039.1757355
67,1461414908.0475597
68,778322985.905652
69,1503942833.6571631
70,4227473561.2079587
71,5901708989.707221
72,6045372682.284207
73,2500862529.981631
74,2236886640.490772
75,1444912741.8762186
76,1826454063.5639045
77,7828441411.241368
78,1073241567.0700227
79,3128753356.9710846
80,3039857804.906261
81,5237060153.970129
82,1931004278.9151385
83,4101114638.1465845
84,726678417.9394609
85,3461152989.5840616
86,885182212.7465482
87,3868052171.1087656
88,1965868323.6153603
89,1537998528.844319
90,4438093211.330487
91,830113377.1294334
92,3937679884.431252
93,0.0
94,1832973890.5151043
95,2215385844.3227777
96,2550708417.4401946
97,1428069240.7277598
98,3830742555.604848
99,0.0
100,6960951420.524759
101,1998676626.5961933
102,6039085304.494409
103,2238644554.3320365
104,808564740.840373
105,1370610198.4650934
106,7502689224.792482
107,0.0
108,4358124933.213333
109,3390530537.154673
110,609510821.9269174
111,1425079898.1203108
112,261834351.08116436
113,2882137179.868968
114,2227681625.2545323
115,0.0
116,6242481548.936569
117,3098046065.0375776
118,391000858.8916666
119,6463068892.729399
120,2533460019.709009
121,0.0
122,3916724206.1863337
123,5300158613.984871
124,12704496335.229618
125,2843141171.0827312
126,0.0
127,2722513368.336382
128,4079113566.262164
129,579103949.5242791
130,2219421148.782565
131,361933673.6803581
132,7656744290.348358
133,4579564381.057722
134,5891924423.622025
135,2009407406.686229
136,2618910489.2348666
137,3495074676.8542085
138,6111932277.424523
139,1805080893.3062232
140,9485763339.75689
141,4804639158.966505
142,4086152967.6284385
143,1855580612.5807784
144,2136940831.972383
145,9429628543.127815
146,2172359154.9230103
147,1863299592.0430918
148,0.0
149,0.0
150,3003841935.697598
151,2969323357.987592
152,3083385465.339996
153,1301698537.680463
154,3802521948.3498735
155,4200896456.0644917
156,4231342668.5982604
157,3132874241.9470835
158,9510811126.183125
159,3444056859.8780823
160,2527675744.364422
161,5417380597.181862
162,5553360379.806086
163,2400750629.754696
164,0.0
165,0.0
166,3427072539.791643
167,8258926802.803154
168,3206276617.013566
169,3244650097.97493
170,3493639635.1334076
171,162157442.58624095
172,1945779117.9115386
173,1301694739.8274405
174,6758183341.503165
175,0.0
176,4085399439.0228643
177,2400901771.4806066
178,607086487.9572798
179,1007854681.5378344
180,2542739166.89425
181,1816226397.9235048
182,8026573251.429832
183,6158495811.5611515
184,3017068524.826764
185,2088688859.655214
186,2714314173.8929067
187,4894894114.446455
188,3056652348.374544
189,0.0
190,4994092997.39678
191,8613541942.396133
192,0.0
193,4580748112.953548
194,1074527703.3767228
195,0.0
196,4098731019.7364073
197,2746104656.46649
198,2327174562.9888687
199,1872220764.844585
200,1970027625.467625
201,2704937799.4827337
202,9773503525.584185
203,4774278754.613665
204,783537890.0680091
205,8135600393.530588
206,3577051745.235732
207,1552451176.6910224
208,1491438799.5544758
209,4345906414.992942
210,3193957626.8426695
211,2020921796.574177
212,1584531712.5230308
213,3274847188.6663675
214,4241578007.472191
215,1866919431.405591
216,2592705280.5898657
217,3655250306.2750483
218,5823078444.491026
219,1881676966.2684321
220,1302455511.9649403
221,2135939377.6659942
222,1273263771.6581018
223,3914306987.0137873
224,7466371635.315609
225,1653988778.6855783
226,1228893919.3903244
227,4920237147.029593
228,8609453431.881273
229,0.0
230,2284726981.9613857
231,3230619696.0268917
232,3102722425.356082
233,951095283.2536293
234,4928875259.049948
235,2900340233.390043
236,6325318076.737683
237,0.0
238,6300416308.544783
239,1301700574.754711
240,135550753.96459842
241,0.0
242,6577117705.41574
243,7743744778.223188
244,1392176681.1653326
245,2089952533.3183198
246,4745050925.862821
247,7056560149.148718
248,1446900849.0411937
249,5429773074.064774
250,373444667.64278996
251,1717580098.8265264
252,3100214689.9954944
253,1670627219.4676347
254,6905790328.284637
255,3193184920.8090434
256,170993375.37393525
257,4563581078.103222
258,3800653138.2163024
259,1495289409.4968858
260,4276003784.4296126
261,7538997990.814634
262,1358381180.067196
263,1193427410.5112433
264,5417244678.040475
265,2570656543.82763
266,3536601648.7727823
267,2150313434.0324826
268,6570872780.071836
269,2705973346.095976
270,3582900980.3270783
271,4059513600.1832685
272,6757649642.057203
273,3096785933.056664
274,1517603408.480132
275,976382158.8487518
276,4838397666.982999
277,3338071024.5326824
278,4922363663.580528
279,4810171543.690517
280,8751630205.077843
281,2381396667.460783
282,0.0
283,12857036741.402714
284,2394344792.0268335
285,2013054829.9120748
286,162153968.40706074
287,5298862054.380016
288,8449618708.417929
289,2564411441.50246
290,164399257.40268862
291,9112175701.58436
292,4580211614.198449
293,2186397726.254538
294,6363150893.582372
295,2195323772.4548473
296,0.0
297,3090248132.039929
298,1747411495.7485635
299,5534270700.403739
300,5673489306.065338
301,1198045317.4274676
302,6456600578.31
303,4536831421.165893
304,1096542970.9129267
305,1270327515.2622666
306,1666898443.8299417
307,4523027457.473023
308,2399498806.9175196
309,2159061718.2466784
310,1990003794.0461025
311,7442707203.853406
312,2569758502.589237
313,2814105476.1397595
314,1457626077.7642722
315,804700819.4401777
316,3612118927.089032
317,348928087.59141695
318,2994836948.362002
319,2056108780.2919567
320,79178015.67374462
321,2465115127.141622
322,2906132054.0818715
323,3625984190.880679
324,4372641481.566641
325,0.0
326,4747106770.038322
327,1583440926.563815
328,1299018384.4177146
329,1705195990.2231402
330,6974163625.966259
331,2603400415.811396
332,4812409171.746538
333,6819753400.4730835
334,5414367713.783391
335,1395082712.3646286
336,1391051439.646524
337,0.0
338,1806893026.3059144
339,1192939523.914701
340,11872101758.856907
341,10801699042.752195
342,1326413963.709713
343,1301692971.608746
344,4737364295.084021
345,1200431795.738168
346,1990660339.7491279
347,6101529135.901815
348,6462191807.352098
349,7664154147.48209
350,1667509806.4754543
351,3613469901.2622757
352,0.0
353,6567758612.840352
354,1120650385.727886
355,8654098618.243015
356,2540322282.3597245
357,4695687203.084344
358,3121829599.703341
359,2457207680.493578
360,3792318034.8123097
361,1796567147.328436
362,1346618111.9336777
