,0
0,6
1,4
2,2
3,2
4,1
5,1
6,2
7,3
8,3
9,2
10,2
11,5
12,7
13,1
14,3
15,4
16,2
17,0
18,1
19,1
20,3
21,2
22,1
23,1
24,4
25,0
26,4
27,5
28,2
29,7
30,2
31,5
32,3
33,4
34,5
35,1
36,6
37,2
38,1
39,3
40,3
41,3
42,4
43,3
44,4
45,0
46,0
47,0
48,2
49,0
50,3
51,1
52,6
53,3
54,7
55,2
56,2
57,8
58,3
59,1
60,0
61,2
62,3
63,1
64,2
65,1
66,2
67,2
68,2
69,5
70,3
71,1
72,3
73,6
74,1
75,2
76,1
77,2
78,1
79,2
80,5
81,1
82,2
83,2
84,1
85,5
86,2
87,2
88,2
89,1
90,3
91,1
92,1
93,1
94,4
95,4
96,0
97,0
98,2
99,1
100,3
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,2
110,2
111,0
112,2
113,1
114,2
115,2
116,2
117,6
118,1
119,0
120,1
121,1
122,0
123,2
124,2
125,2
126,0
127,2
128,4
129,2
130,2
131,3
132,2
133,3
134,2
135,2
136,1
137,0
138,3
139,2
140,3
141,1
142,2
143,4
144,3
145,1
146,1
147,3
148,1
149,1
150,4
151,6
152,8
153,4
154,4
155,4
156,1
157,2
158,1
159,3
160,6
161,4
162,1
163,3
164,2
165,2
166,2
167,4
168,2
169,2
170,0
171,1
172,1
173,1
174,3
175,0
176,1
177,3
178,2
179,1
180,0
181,2
182,4
183,2
184,4
185,5
186,1
187,1
188,3
189,1
190,1
191,4
192,4
193,2
194,2
195,3
196,1
197,2
198,2
199,3
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,3
209,3
210,2
211,1
212,2
213,4
214,2
215,1
216,4
217,2
218,3
219,1
220,2
221,5
222,3
223,2
224,5
225,0
226,3
227,2
228,3
229,1
230,4
231,0
232,0
233,0
234,1
235,3
236,4
237,1
238,4
239,5
240,4
241,2
242,1
243,3
244,0
245,5
246,2
247,2
248,1
249,5
250,4
251,2
252,2
253,1
254,1
255,1
256,3
257,2
258,1
259,1
260,2
261,2
262,1
263,3
264,3
265,4
266,2
267,1
268,2
269,1
270,3
271,6
272,2
273,5
274,3
275,1
276,2
277,2
278,8
279,8
280,4
281,1
282,2
283,3
284,2
285,1
286,2
287,2
288,4
289,3
290,2
291,2
292,1
293,0
294,1
295,4
296,1
297,1
298,2
299,7
300,8
301,2
302,4
303,3
304,1
305,2
306,1
307,1
308,4
309,1
310,2
311,2
312,1
313,2
314,2
315,0
316,6
317,3
318,2
319,1
320,5
321,4
322,0
323,4
324,2
325,0
326,3
327,4
328,2
329,7
330,3
331,1
332,4
333,4
334,1
335,0
336,1
337,1
338,1
339,4
340,1
341,4
342,5
343,1
344,2
345,3
346,0
347,5
348,4
349,3
350,2
351,2
352,0
353,3
354,1
355,2
356,6
357,2
358,3
359,1
360,1
361,1
362,1
363,4
364,2
365,3
366,3
367,1
368,1
369,1
370,2
371,1
372,1
373,2
374,1
375,2
376,1
377,2
378,1
379,4
380,3
381,1
382,2
383,5
384,2
385,3
386,1
387,3
388,3
389,4
390,1
391,0
392,3
393,3
394,3
395,6
396,2
397,2
398,1
399,0
400,2
401,1
402,4
403,5
404,0
405,4
406,2
407,2
408,1
409,1
410,4
411,2
412,3
413,2
414,3
415,3
416,2
417,2
418,1
419,1
420,1
421,2
422,1
423,3
424,6
425,2
426,0
427,2
428,1
429,4
430,5
431,3
432,1
433,3
434,1
435,2
436,0
437,3
438,1
439,1
440,1
441,3
442,3
443,2
444,2
445,2
